time,i_C,i_L,i_d,i_s,u_R,u_out
1.1440000000000006E-5,0.7597264051437378,22.75972557067871,-1.443724067939911E-5,22.759740829467773,0.18233434855937958,59.15623092651367
1.1450000000000006E-5,0.7677086591720581,22.76770782470703,-1.4437232493946794E-5,22.767723083496094,0.1842500865459442,59.160621643066406
1.1460000000000005E-5,0.775690495967865,22.77569007873535,-1.4437224308494478E-5,22.775705337524414,0.1861657202243805,59.1650390625
1.1470000000000005E-5,0.7836718559265137,22.783672332763672,-1.4437216123042163E-5,22.7836856842041,0.18808124959468842,59.16948318481445
1.1480000000000005E-5,0.7916527986526489,22.79165267944336,-1.4437207937589847E-5,22.791667938232422,0.18999667465686798,59.173954010009766
1.1490000000000005E-5,0.7996333241462708,22.799633026123047,-1.4437200661632232E-5,22.79964828491211,0.19191201031208038,59.17844772338867
1.1500000000000007E-5,0.8076134324073792,22.807613372802734,-1.4437192476179916E-5,22.807628631591797,0.19382722675800323,59.18296813964844
1.1510000000000007E-5,0.8155930638313293,22.815593719482422,-1.44371842907276E-5,22.81560707092285,0.19574233889579773,59.18751525878906
1.1520000000000007E-5,0.8235722780227661,22.823572158813477,-1.4437176105275284E-5,22.82358741760254,0.19765734672546387,59.19208526611328
1.1530000000000006E-5,0.8315510749816895,22.83155059814453,-1.443716882931767E-5,22.831565856933594,0.19957226514816284,59.19668197631836
1.1540000000000006E-5,0.8395293951034546,22.839529037475586,-1.4437160643865354E-5,22.83954429626465,0.20148706436157227,59.2013053894043
1.1550000000000006E-5,0.8475072979927063,22.84750747680664,-1.4437152458413038E-5,22.84752082824707,0.20340174436569214,59.205955505371094
1.1560000000000006E-5,0.8554847240447998,22.855484008789062,-1.4437144272960722E-5,22.855499267578125,0.20531633496284485,59.210628509521484
1.1570000000000006E-5,0.8634617328643799,22.863462448120117,-1.4437136087508406E-5,22.863475799560547,0.207230806350708,59.215328216552734
1.1580000000000006E-5,0.8714382648468018,22.87143898010254,-1.4437128811550792E-5,22.87145233154297,0.2091451734304428,59.220054626464844
1.1590000000000006E-5,0.8794143199920654,22.879413604736328,-1.4437120626098476E-5,22.87942886352539,0.21105943620204926,59.22480392456055
1.1600000000000006E-5,0.8873899579048157,22.88739013671875,-1.443711244064616E-5,22.88740348815918,0.21297357976436615,59.22957992553711
1.1610000000000006E-5,0.8953651189804077,22.89536476135254,-1.4437104255193844E-5,22.8953800201416,0.2148876190185547,59.23438262939453
1.1620000000000006E-5,0.9033398032188416,22.903339385986328,-1.443709697923623E-5,22.90335464477539,0.21680155396461487,59.23921203613281
1.1630000000000006E-5,0.9113140106201172,22.911314010620117,-1.4437088793783914E-5,22.91132926940918,0.2187153697013855,59.24406433105469
1.1640000000000005E-5,0.9192878007888794,22.919288635253906,-1.4437080608331598E-5,22.919301986694336,0.22062906622886658,59.24894332885742
1.1650000000000005E-5,0.9272610545158386,22.927261352539062,-1.4437072422879282E-5,22.927274703979492,0.2225426584482193,59.253849029541016
1.1660000000000005E-5,0.9352338910102844,22.93523406982422,-1.4437065146921668E-5,22.93524742126465,0.22445613145828247,59.2587776184082
1.1670000000000007E-5,0.943206250667572,22.943206787109375,-1.4437056961469352E-5,22.943220138549805,0.22636950016021729,59.263736724853516
1.1680000000000007E-5,0.9511780738830566,22.9511775970459,-1.4437048776017036E-5,22.95119285583496,0.22828274965286255,59.26871871948242
1.1690000000000007E-5,0.9455083012580872,22.94550895690918,22.945493698120117,1.4482945516647305E-5,0.22692199051380157,59.27040481567383
1.1700000000000007E-5,0.9398383498191833,22.939838409423828,22.939823150634766,1.4482940059679095E-5,0.2255612015724182,59.27207565307617
1.1710000000000006E-5,0.9341682195663452,22.934167861938477,22.934154510498047,1.4482934602710884E-5,0.22420038282871246,59.27373123168945
1.1720000000000006E-5,0.9284979701042175,22.928497314453125,22.928483963012695,1.4482928236247972E-5,0.22283951938152313,59.27536392211914
1.1730000000000006E-5,0.9228276014328003,22.922826766967773,22.922813415527344,1.4482922779279761E-5,0.2214786261320114,59.276981353759766
1.1740000000000006E-5,0.9171570539474487,22.917156219482422,22.917142868041992,1.448291732231155E-5,0.2201176881790161,59.2785758972168
1.1750000000000006E-5,0.9114863872528076,22.91148567199707,22.91147232055664,1.448291186534334E-5,0.21875673532485962,59.280155181884766
1.1760000000000006E-5,0.9058155417442322,22.90581512451172,22.90580177307129,1.4482905498880427E-5,0.21739572286605835,59.28171920776367
1.1770000000000006E-5,0.9001445770263672,22.900144577026367,22.900129318237305,1.4482900041912217E-5,0.2160346955060959,59.283260345458984
1.1780000000000006E-5,0.8944734930992126,22.894474029541016,22.894458770751953,1.4482894584944006E-5,0.21467363834381104,59.284786224365234
1.1790000000000006E-5,0.8888022303581238,22.88880157470703,22.8887882232666,1.4482889127975795E-5,0.2133125364780426,59.28628921508789
1.1800000000000006E-5,0.8831308484077454,22.88313102722168,22.883115768432617,1.4482882761512883E-5,0.21195140480995178,59.287776947021484
1.1810000000000006E-5,0.8774593472480774,22.877458572387695,22.877445220947266,1.4482877304544672E-5,0.21059024333953857,59.289249420166016
1.1820000000000005E-5,0.8717876672744751,22.871788024902344,22.87177276611328,1.4482871847576462E-5,0.20922905206680298,59.29069900512695
1.1830000000000005E-5,0.866115927696228,22.86611557006836,22.86610221862793,1.4482866390608251E-5,0.2078678160905838,59.29213333129883
1.1840000000000007E-5,0.8604440093040466,22.860443115234375,22.860429763793945,1.4482860024145339E-5,0.20650656521320343,59.29354476928711
1.1850000000000007E-5,0.8547719717025757,22.854772567749023,22.85475730895996,1.4482854567177128E-5,0.20514526963233948,59.29494094848633
1.1860000000000007E-5,0.8490998148918152,22.84910011291504,22.849084854125977,1.4482849110208917E-5,0.20378395915031433,59.29631805419922
1.1870000000000007E-5,0.8434275388717651,22.843427658081055,22.843412399291992,1.4482843653240707E-5,0.2024226188659668,59.29767990112305
1.1880000000000007E-5,0.8377551436424255,22.83775520324707,22.837739944458008,1.4482837286777794E-5,0.20106123387813568,59.29901885986328
1.1890000000000006E-5,0.8320826292037964,22.832082748413086,22.832067489624023,1.4482831829809584E-5,0.19969983398914337,59.30034255981445
1.1900000000000006E-5,0.8264099955558777,22.8264102935791,22.82639503479004,1.4482826372841373E-5,0.19833840429782867,59.3016471862793
1.1910000000000006E-5,0.8207372426986694,22.820737838745117,22.820722579956055,1.4482820915873162E-5,0.1969769448041916,59.30293273925781
1.1920000000000006E-5,0.8150644302368164,22.8150634765625,22.81505012512207,1.4482815458904952E-5,0.19561545550823212,59.304203033447266
1.1930000000000006E-5,0.809391438961029,22.809391021728516,22.809377670288086,1.448280909244204E-5,0.19425393640995026,59.305450439453125
